timestamp,value
2025-10-19T20:14:57,4.86
2025-10-19T20:15:57,5.80
2025-10-19T20:16:57,1.66
2025-10-19T20:17:57,4.83
2025-10-19T20:18:57,2.66
2025-10-19T20:19:57,4.53
2025-10-19T20:20:57,5.82
2025-10-19T20:21:57,0.35
2025-10-19T20:22:57,2.61
2025-10-19T20:23:57,1.22
2025-10-19T20:24:57,1.05
2025-10-19T20:25:57,3.81
2025-10-19T20:26:57,2.44
2025-10-19T20:27:57,3.06
2025-10-19T20:28:57,4.45
2025-10-19T20:29:57,5.54
2025-10-19T20:30:57,1.77
2025-10-19T20:31:57,1.25
2025-10-19T20:32:57,0.87
2025-10-19T20:33:57,5.76
2025-10-19T20:34:57,5.88
2025-10-19T20:35:57,1.49
2025-10-19T20:36:57,3.74
2025-10-19T20:37:57,0.22
2025-10-19T20:38:57,4.34
2025-10-19T20:39:57,5.13
2025-10-19T20:40:57,1.49
2025-10-19T20:41:57,0.22
2025-10-19T20:42:57,0.69
2025-10-19T20:43:57,1.05
2025-10-19T20:44:57,3.80
2025-10-19T20:45:57,4.08
2025-10-19T20:46:57,2.40
2025-10-19T20:47:57,5.97
2025-10-19T20:48:57,2.66
2025-10-19T20:49:57,3.42
2025-10-19T20:50:57,2.46
2025-10-19T20:51:57,0.06
2025-10-19T20:52:57,4.82
2025-10-19T20:53:57,2.95
2025-10-19T20:54:57,2.01
2025-10-19T20:55:57,0.58
2025-10-19T20:56:57,2.46
2025-10-19T20:57:57,3.77
2025-10-19T20:58:57,3.63
2025-10-19T20:59:57,1.67
2025-10-19T21:00:57,5.85
2025-10-19T21:01:57,2.90
2025-10-19T21:02:57,4.28
2025-10-19T21:03:57,4.11
2025-10-19T21:04:57,5.66
2025-10-19T21:05:57,3.74
2025-10-19T21:06:57,2.40
2025-10-19T21:07:57,0.32
2025-10-19T21:08:57,4.08
2025-10-19T21:09:57,5.75
2025-10-19T21:10:57,0.35
2025-10-19T21:11:57,5.71
2025-10-19T21:12:57,5.79
2025-10-19T21:13:57,4.12
2025-10-19T21:14:57,2.28
2025-10-19T21:15:57,0.27
2025-10-19T21:16:57,2.32
2025-10-19T21:17:57,1.42
2025-10-19T21:18:57,4.75
2025-10-19T21:19:57,5.93
2025-10-19T21:20:57,0.58
2025-10-19T21:21:57,6.00
2025-10-19T21:22:57,2.50
2025-10-19T21:23:57,4.67
2025-10-19T21:24:57,3.41
2025-10-19T21:25:57,0.67
2025-10-19T21:26:57,0.03
2025-10-19T21:27:57,1.08
2025-10-19T21:28:57,5.70
2025-10-19T21:29:57,4.56
2025-10-19T21:30:57,1.26
2025-10-19T21:31:57,1.53
2025-10-19T21:32:57,1.71
2025-10-19T21:33:57,2.45
2025-10-19T21:34:57,2.44
2025-10-19T21:35:57,5.50
2025-10-19T21:36:57,2.89
2025-10-19T21:37:57,3.34
2025-10-19T21:38:57,3.18
2025-10-19T21:39:57,4.58
2025-10-19T21:40:57,2.18
2025-10-19T21:41:57,1.15
2025-10-19T21:42:57,3.34
2025-10-19T21:43:57,1.14
2025-10-19T21:44:57,0.09
2025-10-19T21:45:57,2.66
2025-10-19T21:46:57,2.56
2025-10-19T21:47:57,4.83
2025-10-19T21:48:57,3.33
2025-10-19T21:49:57,1.38
2025-10-19T21:50:57,5.02
2025-10-19T21:51:57,5.90
2025-10-19T21:52:57,4.95
2025-10-19T21:53:57,5.36
2025-10-19T21:54:57,0.51
2025-10-19T21:55:57,1.08
2025-10-19T21:56:57,2.61
2025-10-19T21:57:57,1.58
2025-10-19T21:58:57,3.91
2025-10-19T21:59:57,2.71
2025-10-19T22:00:57,3.61
2025-10-19T22:01:57,1.88
2025-10-19T22:02:57,4.67
2025-10-19T22:03:57,2.14
2025-10-19T22:04:57,1.91
2025-10-19T22:05:57,3.42
2025-10-19T22:06:57,0.36
2025-10-19T22:07:57,2.92
2025-10-19T22:08:57,1.47
2025-10-19T22:09:57,0.35
2025-10-19T22:10:57,0.80
2025-10-19T22:11:57,3.88
2025-10-19T22:12:57,5.03
2025-10-19T22:13:57,2.60
2025-10-19T22:14:57,4.89
2025-10-19T22:15:57,1.59
2025-10-19T22:16:57,4.57
2025-10-19T22:17:57,4.34
2025-10-19T22:18:57,2.87
2025-10-19T22:19:57,2.07
2025-10-19T22:20:57,3.95
2025-10-19T22:21:57,4.18
2025-10-19T22:22:57,3.55
2025-10-19T22:23:57,3.81
2025-10-19T22:24:57,5.21
2025-10-19T22:25:57,4.13
2025-10-19T22:26:57,0.25
2025-10-19T22:27:57,1.46
2025-10-19T22:28:57,3.49
2025-10-19T22:29:57,4.09
2025-10-19T22:30:57,2.57
2025-10-19T22:31:57,2.52
2025-10-19T22:32:57,1.34
2025-10-19T22:33:57,4.22
2025-10-19T22:34:57,4.56
2025-10-19T22:35:57,2.59
2025-10-19T22:36:57,2.26
2025-10-19T22:37:57,4.67
2025-10-19T22:38:57,1.11
2025-10-19T22:39:57,1.08
2025-10-19T22:40:57,3.90
2025-10-19T22:41:57,3.25
2025-10-19T22:42:57,5.55
2025-10-19T22:43:57,4.19
2025-10-19T22:44:57,0.58
2025-10-19T22:45:57,3.92
2025-10-19T22:46:57,5.11
2025-10-19T22:47:57,4.10
2025-10-19T22:48:57,5.25
2025-10-19T22:49:57,0.01
2025-10-19T22:50:57,0.94
2025-10-19T22:51:57,0.93
2025-10-19T22:52:57,5.30
2025-10-19T22:53:57,4.99
2025-10-19T22:54:57,1.24
2025-10-19T22:55:57,2.36
2025-10-19T22:56:57,5.40
2025-10-19T22:57:57,2.68
2025-10-19T22:58:57,3.56
2025-10-19T22:59:57,5.57
2025-10-19T23:00:57,3.51
2025-10-19T23:01:57,4.38
2025-10-19T23:02:57,0.66
2025-10-19T23:03:57,2.74
2025-10-19T23:04:57,0.84
2025-10-19T23:05:57,2.25
2025-10-19T23:06:57,0.84
2025-10-19T23:07:57,3.48
2025-10-19T23:08:57,0.96
2025-10-19T23:09:57,5.20
2025-10-19T23:10:57,4.26
2025-10-19T23:11:57,3.04
2025-10-19T23:12:57,1.12
2025-10-19T23:13:57,5.61
2025-10-19T23:14:57,2.57
2025-10-19T23:15:57,4.59
2025-10-19T23:16:57,5.87
2025-10-19T23:17:57,0.41
2025-10-19T23:18:57,0.68
2025-10-19T23:19:57,0.38
2025-10-19T23:20:57,5.57
2025-10-19T23:21:57,5.63
2025-10-19T23:22:57,5.32
2025-10-19T23:23:57,3.44
2025-10-19T23:24:57,4.94
2025-10-19T23:25:57,1.90
2025-10-19T23:26:57,2.00
2025-10-19T23:27:57,2.83
2025-10-19T23:28:57,3.32
2025-10-19T23:29:57,0.18
2025-10-19T23:30:57,2.81
2025-10-19T23:31:57,0.08
2025-10-19T23:32:57,4.79
2025-10-19T23:33:57,0.75
